PPN_TP_Record,GND_ID
86913352,http://d-nb.info/gnd/118572326
86913336,http://d-nb.info/gnd/11857230X
86913182,http://d-nb.info/gnd/118572156
86913158,http://d-nb.info/gnd/118572121
08691314X,http://d-nb.info/gnd/118572113
08691300X,http://d-nb.info/gnd/118571974
86912895,http://d-nb.info/gnd/118571869
86912771,http://d-nb.info/gnd/118571745
86912755,http://d-nb.info/gnd/118571729
86912712,http://d-nb.info/gnd/118571680
86912674,http://d-nb.info/gnd/118571648
86912593,http://d-nb.info/gnd/118571567
86912542,http://d-nb.info/gnd/118571516
86912445,http://d-nb.info/gnd/118571419
86911988,http://d-nb.info/gnd/118570951
86911783,http://d-nb.info/gnd/118570757
86911724,http://d-nb.info/gnd/118570692
86911686,http://d-nb.info/gnd/11857065X
86911465,http://d-nb.info/gnd/118570439
86911392,http://d-nb.info/gnd/118570366
86911325,http://d-nb.info/gnd/118570293
86911317,http://d-nb.info/gnd/118570285
86911023,http://d-nb.info/gnd/118569996
86910914,http://d-nb.info/gnd/118569880
86910906,http://d-nb.info/gnd/118569872
86910825,http://d-nb.info/gnd/118569791
86910698,http://d-nb.info/gnd/11856966X
86910566,http://d-nb.info/gnd/118569538
08691040X,http://d-nb.info/gnd/118569376
86910361,http://d-nb.info/gnd/118569333
86910353,http://d-nb.info/gnd/118569325
86910108,http://d-nb.info/gnd/118569074
86909967,http://d-nb.info/gnd/118568930
86909215,http://d-nb.info/gnd/118568183
86909088,http://d-nb.info/gnd/118568051
08690907X,http://d-nb.info/gnd/118568043
86908995,http://d-nb.info/gnd/118567969
86908936,http://d-nb.info/gnd/11856790X
86908731,http://d-nb.info/gnd/118567705
86908677,http://d-nb.info/gnd/118567640
86908499,http://d-nb.info/gnd/118567462
08690843X,http://d-nb.info/gnd/118567403
86908391,http://d-nb.info/gnd/118567365
86908162,http://d-nb.info/gnd/118567136
86908081,http://d-nb.info/gnd/118567055
86907891,http://d-nb.info/gnd/118566865
86907549,http://d-nb.info/gnd/118566512
86907409,http://d-nb.info/gnd/118566377
86907344,http://d-nb.info/gnd/118566318
08690731X,http://d-nb.info/gnd/118566288
08690714X,http://d-nb.info/gnd/118566113
86907093,http://d-nb.info/gnd/118566067
86907042,http://d-nb.info/gnd/118566016
86906909,http://d-nb.info/gnd/118565877
86906828,http://d-nb.info/gnd/118565796
86906569,http://d-nb.info/gnd/118565532
86906429,http://d-nb.info/gnd/118565397
86905988,http://d-nb.info/gnd/118564951
08690597X,http://d-nb.info/gnd/118564943
86905902,http://d-nb.info/gnd/118564870
08690566X,http://d-nb.info/gnd/118564633
86905627,http://d-nb.info/gnd/118564595
86905619,http://d-nb.info/gnd/118564587
86905562,http://d-nb.info/gnd/118564536
86905511,http://d-nb.info/gnd/11856448X
86905503,http://d-nb.info/gnd/118564471
86905384,http://d-nb.info/gnd/118564358
86905104,http://d-nb.info/gnd/118564072
86905074,http://d-nb.info/gnd/118564048
08690485X,http://d-nb.info/gnd/118563823
08690454X,http://d-nb.info/gnd/118563513
86904523,http://d-nb.info/gnd/118563491
86904264,http://d-nb.info/gnd/118563238
86904221,http://d-nb.info/gnd/11856319X
86903896,http://d-nb.info/gnd/11856286X
86903837,http://d-nb.info/gnd/118562800
86903632,http://d-nb.info/gnd/118562606
86903624,http://d-nb.info/gnd/118562592
86903594,http://d-nb.info/gnd/118562568
