http://d-nb.info/gnd/11857647X,"Maimon, Salomon",Salomon,Maimon,https://www.uni-potsdam.de/haskala/haskala-in-biographien/maimon.html,Salomon Maimon,"Philosoph, Schriftsteller",1753,22.11.1800,"Nieszewicz, Litauen",Nieder-Siegersdorf
http://d-nb.info/gnd/118580744,"Mendelssohn, Moses",Moses,Mendelssohn,https://www.uni-potsdam.de/haskala/haskala-in-biographien/mendelssohn.html,Moses Mendelssohn,"Kaufmann, Dichter, Schriftsteller, Übersetzer",06.09.1729,04.01.1786,Dessau,Berlin
http://d-nb.info/gnd/137816820,"Neumann, Immanuel Moritz",Immanuel Moritz,Neumann,https://www.uni-potsdam.de/haskala/haskala-in-biographien/neumann.html,Immanuel Moritz Neumann,"Lehrer, Schriftsteller",,,Brody[?],Breslau [?]
http://d-nb.info/gnd/1015480195,"Oppenheimer, David",David,Oppenheimer,https://www.uni-potsdam.de/haskala/haskala-in-biographien/david-oppenheimer.html,David Oppenheimer,"Arzt, medizinischer Aufklärer",25.02.1752 oder 1753,18.11.1815,,
http://d-nb.info/gnd/116031573,"Pappenheim, Salomon",Salomon,Pappenheim,https://www.uni-potsdam.de/haskala/haskala-in-biographien/salomon-pappenheim.html,Salomon Pappenheim,"Rabbinatsassessor, Gemeindevorsteher, Schriftsteller",02.02.1740,04.03.1814,Zülz,Breslau
http://d-nb.info/gnd/11617448X,"Philipson, Moses",Moses,Philipson,https://www.uni-potsdam.de/haskala/haskala-in-biographien/philipson.html,Moses Philipson,"Direktor der Meyer‘schen Schulstiftungen, Buchhalter im “Fideicommisscomtoir” des Bankhauses seines Onkels Meyer Michael David, Dr. phil. h.c., kgl. preuß. Hofrat am Steuerdirektorium in Köln",20.11.1761,29.07.1850,Altona,Elberfeld
http://d-nb.info/gnd/124154565,"Satanow, Isaac",Isaac,Satanow,https://www.uni-potsdam.de/de/haskala/haskala-in-biographien/satanow.html,Isaac Satanow,"Buchdrucker, Schriftsteller",1733,25.12.1805,Satanow,Berlin
http://d-nb.info/gnd/1089711913,"Ulmann, Naphtali Herz",Naphtali Herz,Ulmann,https://www.uni-potsdam.de/haskala/haskala-in-biographien/ulmann.html,Naphtali Herz Ulmann,Philosoph,1731,22.06.1787,Mainz,Den Haag
http://d-nb.info/gnd/119178583,"Wessely, Hartwig",Hartwig,Wessely,https://www.uni-potsdam.de/haskala/haskala-in-biographien/hwessely.html,Hartwig Wessely,"Dichter, Schriftsteller, Kaufmann",1725,28.02.1805,Hamburg[?],Hamburg
http://d-nb.info/gnd/1022281070,"Wessely, Moses",Moses,Wessely,https://www.uni-potsdam.de/de/haskala/haskala-in-biographien/mwessely.html,Moses Wessely,Großkaufmann,1737,1792,Kopenhagen,Hamburg
http://d-nb.info/gnd/121094596,"Wolff, Sabattia Joseph",Sabattia Joseph,Wolff,https://www.uni-potsdam.de/haskala/haskala-in-biographien/sabattia-j-wolff.html,Sabattia Joseph Wolff,"Arzt, Schriftsteller",12.09.1757,28.02.1832,Berlin,Berlin
